namespace,zh_hans,ja
CombatAction,闲置,待機
CombatAction,风雷神脚,風雷神脚
CombatAction,飞燕流星翎,飛燕流星翎
CombatCharacter,万里鹏程,万里鵬程
CombatCharacter,三师兄,三師兄
CombatCharacter,上官千金,上官家令嬢
CombatCharacter,上官萤,上官螢
CombatCharacter,上官隼,上官隼
CombatCharacter,丐帮弟子,丐幇弟子
CombatCharacter,书生,書生
CombatCharacter,二师兄,二師兄
CombatCharacter,仙姑,仙姑
CombatCharacter,余公子,余公子
CombatCharacter,先生,先生
CombatCharacter,全真弟子,全真教弟子
CombatCharacter,全真长老,全真派長老
CombatCharacter,公子侠,公子俠
CombatCharacter,刘颚,劉顎
CombatCharacter,前武林盟主,前武林盟主
CombatCharacter,千面人魔,千面人魔
CombatCharacter,南宫浅,南宮淺
CombatCharacter,南宫深,南宮深
CombatCharacter,南宫远,南宮遠
CombatCharacter,南宮家丁,南宮家下男
CombatCharacter,南宮己,南宮己
CombatCharacter,南溪,南溪
CombatCharacter,叶云舟,葉雲舟
CombatCharacter,向无忧,向無憂
CombatCharacter,听海生,聽海生
CombatCharacter,唐中翎,唐中翎
CombatCharacter,唐升,唐陞
CombatCharacter,唐大鲸,唐大鯨
CombatCharacter,唐娇娇,唐嬌嬌
CombatCharacter,唐布衣,唐布衣
CombatCharacter,唐惟元,唐惟元
CombatCharacter,唐芳,唐芳
CombatCharacter,唐衫,唐衫
CombatCharacter,唐铮,唐錚
CombatCharacter,唐门女弟子,唐門女弟子
CombatCharacter,唐门弟子,唐門弟子
CombatCharacter,唐门掌门,唐門掌門
CombatCharacter,唐默铃,唐默鈴
CombatCharacter,四师兄,四師兄
CombatCharacter,夏侯兰,夏侯蘭
CombatCharacter,夺魄弟子,奪魄門弟子
CombatCharacter,女飞贼,女飛賊
CombatCharacter,官兵,官兵
CombatCharacter,小师妹,小師妹
CombatCharacter,山贼,山賊
CombatCharacter,峨嵋弟子,峨嵋派弟子
CombatCharacter,崆峒弟子,崆峒弟子
CombatCharacter,崆峒战队,崆峒戦隊
CombatCharacter,嵩山弟子,嵩山派弟子
CombatCharacter,店小二,店員
CombatCharacter,拳师,拳師
CombatCharacter,无相祖师,無相祖師
CombatCharacter,晁和,晁和
CombatCharacter,樊啸天,樊嘯天
CombatCharacter,武林盟群侠,武林盟群俠
CombatCharacter,段智秀,段智秀
CombatCharacter,江湖女侠,江湖の女俠
CombatCharacter,江湖少侠,江湖の少侠
CombatCharacter,泥教弟子,泥教弟子
CombatCharacter,洛阳大侠,洛陽の大侠
CombatCharacter,海盗,海賊
CombatCharacter,温夫人,温夫人
CombatCharacter,火龙仙君,火龍仙君
CombatCharacter,点苍弟子,点蒼派弟子
CombatCharacter,牛头马面,牛頭馬面
CombatCharacter,狂犬,狂犬
CombatCharacter,狄傲,狄傲
CombatCharacter,狗,犬
CombatCharacter,狼,狼
CombatCharacter,玄功弟子,玄功門弟子
CombatCharacter,王二壮,王二壮
CombatCharacter,瑞笙,瑞笙
CombatCharacter,申屠龙,申屠龍
CombatCharacter,画中仙,画中仙
CombatCharacter,石公远,石公遠
CombatCharacter,福韫,福韞
CombatCharacter,第三香,第三香
CombatCharacter,蒙面人,覆面の者
CombatCharacter,虞小梅,虞小梅
CombatCharacter,蛇,蛇
CombatCharacter,袁无宪,袁無憲
CombatCharacter,解无尘,解無塵
CombatCharacter,许大鲸,許大鯨
CombatCharacter,谭霸刀,譚覇刀
CombatCharacter,赵活,趙活
CombatCharacter,路人侠,端役侠
CombatCharacter,辛儒,辛儒
CombatCharacter,邹博,鄒博
CombatCharacter,郁竹,郁竹
CombatCharacter,释明,釋明
CombatCharacter,野猪,猪
CombatCharacter,金乌上人,金烏上人
CombatCharacter,铁冠道人,鉄冠道人
CombatCharacter,铁匠,鍛冶屋
CombatCharacter,铁拳弟子,鉄拳門弟子
CombatCharacter,锦香弟子,錦香宮弟子
CombatCharacter,阎关三煞,閻関三煞
CombatCharacter,青城弟子,青城派弟子
CombatCharacter,飞侠,飛俠
CombatCharacter,飞天弟子,飛天門弟子
CombatCharacter,飞石帮,飛石幇
CombatCharacter,飞石帮主,飛石幫主
CombatCharacter,鬼卒,鬼卒
CombatCharacter,鹰人,鷹人
CombatCharacter,龙渊,龍淵
CombatCharacter,龙湘,龍湘
CombatSkill,一趾御风,一趾御風
CombatSkill,万剑归宗,万剣帰宗
CombatSkill,万寿尸血针,万寿屍血針
CombatSkill,三煞,三煞
CombatSkill,丐帮弟子,丐幇の弟子
CombatSkill,丐帮长老,丐幇の長老
CombatSkill,中毒Lv1,中毒Lv1
CombatSkill,中毒Lv2,中毒Lv2
CombatSkill,中毒Lv3,中毒Lv3
CombatSkill,丹霞子,丹霞子
CombatSkill,九转轮回,九転輪廻
CombatSkill,乱丢钱,銭投げ
CombatSkill,二煞,二煞
CombatSkill,人多势众,多勢
CombatSkill,人海战术,人海戦術
CombatSkill,仙鹤迷踪,仙鶴迷踪
CombatSkill,仙鹤迷踪步,仙鶴迷踪歩
CombatSkill,佩服,敬服
CombatSkill,借势Lv1,借勢Lv1
CombatSkill,借势Lv2,借勢Lv2
CombatSkill,借势Lv3,借勢Lv3
CombatSkill,借势Lv4,借勢Lv4
CombatSkill,借势Lv5,借勢Lv5
CombatSkill,偕老誓,偕老の誓い
CombatSkill,做人没有下限,下限なき者
CombatSkill,傲慢,傲慢
CombatSkill,全真弟子,全真派の弟子
CombatSkill,全真弟子众,全真派の弟子たち
CombatSkill,关注,注目
CombatSkill,养命丹,養命丹
CombatSkill,内伤Lv1,内傷Lv1
CombatSkill,内伤Lv2,内傷Lv2
CombatSkill,内伤Lv3,内傷Lv3
CombatSkill,内功反震,内功反震
CombatSkill,凄聋蛛,淒聾蛛
CombatSkill,分心,気が散る
CombatSkill,剑界,剣界
CombatSkill,勇者,勇者
CombatSkill,化劲Lv1,化勁Lv1
CombatSkill,化劲Lv2,化勁Lv2
CombatSkill,化劲Lv3,化勁Lv3
CombatSkill,化劲Lv4,化勁Lv4
CombatSkill,化劲Lv5,化勁Lv5
CombatSkill,化劲Lv6,化勁Lv6
CombatSkill,化劲Lv7,化勁Lv7
CombatSkill,化劲Lv8,化勁Lv8
CombatSkill,化劲Lv9,化勁Lv9
CombatSkill,化境Lv1,化境Lv1
CombatSkill,化境Lv2,化境Lv2
CombatSkill,化境Lv3,化境Lv3
CombatSkill,北斗七星阵,北斗七星陣
CombatSkill,医术Lv1,医術Lv1
CombatSkill,医术Lv2,医術Lv2
CombatSkill,医术Lv3,医術Lv3
CombatSkill,医术Lv4,医術Lv4
CombatSkill,医术Lv5,医術Lv5
CombatSkill,医术Lv6,医術Lv6
CombatSkill,医术Lv7,医術Lv7
CombatSkill,医术Lv8,医術Lv8
CombatSkill,医术Lv9,医術Lv9
CombatSkill,千变万化,千変万化
CombatSkill,千机百变Lv1,千機百変Lv1
CombatSkill,千机百变Lv2,千機百変Lv2
CombatSkill,千机百变Lv3,千機百変Lv3
CombatSkill,千机百变Lv4,千機百変Lv4
CombatSkill,千机百变Lv5,千機百変Lv5
CombatSkill,千机百变Lv6,千機百変Lv6
CombatSkill,千机百变Lv7,千機百変Lv7
CombatSkill,千机百变Lv8,千機百変Lv8
CombatSkill,千机百变Lv9,千機百変Lv9
CombatSkill,千里不留行,千里不留行
CombatSkill,单手,片手
CombatSkill,南宫家丁,南宮家の家来
CombatSkill,南宫护心诀Lv1,南宮護心訣Lv1
CombatSkill,南宫护心诀Lv2,南宮護心訣Lv2
CombatSkill,南宫护心诀Lv3,南宮護心訣Lv3
CombatSkill,反手拳,反手拳
CombatSkill,发在意先,前念に技
CombatSkill,叶云裳,葉雲裳
CombatSkill,同门之情Lv1,同門の誼Lv1
CombatSkill,同门之情Lv2,同門の誼Lv2
CombatSkill,同门之情Lv3,同門の誼Lv3
CombatSkill,君子风,君子の風
CombatSkill,呕吐物,嘔吐物
CombatSkill,唐嬌嬌,唐嬌嬌
CombatSkill,唐门之力,唐門の力
CombatSkill,唐门女弟子,唐門の女弟子
CombatSkill,唐门弟子,唐門の弟子
CombatSkill,唐门暗器Lv1,唐門暗器Lv1
CombatSkill,唐门暗器Lv2,唐門暗器Lv2
CombatSkill,唐门暗器Lv3,唐門暗器Lv3
CombatSkill,唐门暗器Lv4,唐門暗器Lv4
CombatSkill,唐门暗器Lv5,唐門暗器Lv5
CombatSkill,唐门暗器Lv6,唐門暗器Lv6
CombatSkill,唐门暗器Lv7,唐門暗器Lv7
CombatSkill,唐门暗器Lv8,唐門暗器Lv8
CombatSkill,唐门暗器Lv9,唐門暗器Lv9
CombatSkill,唐门毒术Lv1,唐門毒術Lv1
CombatSkill,唐门毒术Lv2,唐門毒術Lv2
CombatSkill,唐门毒术Lv3,唐門毒術Lv3
CombatSkill,唐门毒术Lv4,唐門毒術Lv4
CombatSkill,唐门毒术Lv5,唐門毒術Lv5
CombatSkill,唐门毒术Lv6,唐門毒術Lv6
CombatSkill,唐门毒术Lv7,唐門毒術Lv7
CombatSkill,唐门毒术Lv8,唐門毒術Lv8
CombatSkill,唐门毒术Lv9,唐門毒術Lv9
CombatSkill,唐默铃,唐黙鈴
CombatSkill,唐默铃和叶云裳,唐默鈴と葉雲裳
CombatSkill,喂招,手加減
CombatSkill,地狱使者Lv1,地獄の使者Lv1
CombatSkill,地狱使者Lv2,地獄の使者Lv2
CombatSkill,地狱使者Lv3,地獄の使者Lv3
CombatSkill,地狱使者Lv4,地獄の使者Lv4
CombatSkill,地轴锁天关,地軸鎖天関
CombatSkill,天地无声势,天地無音勢
CombatSkill,天选之人,選ばれし者
CombatSkill,失衡,蹌踉
CombatSkill,失魂落魄,失魂落魄
CombatSkill,夺魄弟子,奪魄門の弟子
CombatSkill,如意境Lv1,如意境Lv1
CombatSkill,如意境Lv2,如意境Lv2
CombatSkill,如意境Lv3,如意境Lv3
CombatSkill,如意境Lv4,如意境Lv4
CombatSkill,如意境Lv5,如意境Lv5
CombatSkill,孟子曰,孟子曰く
CombatSkill,官差,官差
CombatSkill,定身,定身
CombatSkill,封印,封印
CombatSkill,小梅的守望,小梅の見守り
CombatSkill,尹志平,尹志平
CombatSkill,岭南大侠,嶺南の大俠
CombatSkill,峨嵋十九桩,峨嵋十九樁
CombatSkill,峨嵋弟子,峨嵋派の弟子
CombatSkill,嵩山弟子,嵩山派の弟子
CombatSkill,左右开弓,二刀流
CombatSkill,幻觉,幻覚
CombatSkill,彼岸仙香,彼岸仙香
CombatSkill,彼岸香,彼岸香
CombatSkill,得理不饶人,正論を振りかざす
CombatSkill,心剑Lv1,心剣Lv1
CombatSkill,心剑Lv2,心剣Lv2
CombatSkill,心剑Lv3,心剣Lv3
CombatSkill,心剑Lv4,心剣Lv4
CombatSkill,心剑Lv5,心剣Lv5
CombatSkill,心剑Lv6,心剣Lv6
CombatSkill,心剑Lv7,心剣Lv7
CombatSkill,心剑Lv8,心剣Lv8
CombatSkill,心剑Lv9,心剣Lv9
CombatSkill,心印掌,心印掌
CombatSkill,忌惮,忌憚
CombatSkill,思想战Lv1,思想戦Lv1
CombatSkill,思想战Lv2,思想戦Lv2
CombatSkill,思想战Lv3,思想戦Lv3
CombatSkill,思想战Lv4,思想戦Lv4
CombatSkill,思想战Lv5,思想戦Lv5
CombatSkill,怠惰,怠惰
CombatSkill,惊吓,驚く
CombatSkill,愤怒,憤怒
CombatSkill,战术,戦術
CombatSkill,手下留情,手加減
CombatSkill,扰乱,撹乱
CombatSkill,投鼠忌器,投鼠忌器
CombatSkill,折花手Lv1,折花手Lv1
CombatSkill,折花手Lv2,折花手Lv2
CombatSkill,折花手Lv3,折花手Lv3
CombatSkill,折花手Lv4,折花手Lv4
CombatSkill,折花手Lv5,折花手Lv5
CombatSkill,护体气罩Lv1,護体気罩Lv1
CombatSkill,护体气罩Lv2,護体気罩Lv2
CombatSkill,护体气罩Lv3,護体気罩Lv3
CombatSkill,护体气罩Lv4,護体気罩Lv4
CombatSkill,护体气罩Lv5,護体気罩Lv5
CombatSkill,拳剑合璧,拳剣合璧
CombatSkill,拷打,拷問
CombatSkill,揍狗拳,打狗拳
CombatSkill,提气轻身Lv1,提気軽身Lv1
CombatSkill,提气轻身Lv2,提気軽身Lv2
CombatSkill,提气轻身Lv3,提気軽身Lv3
CombatSkill,提气轻身Lv4,提気軽身Lv4
CombatSkill,提气轻身Lv5,提気軽身Lv5
CombatSkill,提气轻身Lv6,提気軽身Lv6
CombatSkill,提气轻身Lv7,提気軽身Lv7
CombatSkill,提气轻身Lv8,提気軽身Lv8
CombatSkill,提气轻身Lv9,提気軽身Lv9
CombatSkill,提防暗器Lv1,暗器警戒Lv1
CombatSkill,提防暗器Lv2,暗器警戒Lv2
CombatSkill,提防暗器Lv3,暗器警戒Lv3
CombatSkill,断臂,断腕
CombatSkill,无定飞梭,無定飛梭
CombatSkill,暗箭伤人,暗箭傷人
CombatSkill,木仙姑,木仙姑
CombatSkill,机关箧笥,機関箱
CombatSkill,李富贵,李富貴
CombatSkill,极端揍狗拳,極端打狗拳
CombatSkill,栈道不稳,桟道不安定
CombatSkill,核枣钉Lv1,核棗釘Lv1
CombatSkill,欺善怕恶,善を欺き悪を恐れる
CombatSkill,毅力,根性
CombatSkill,毒功,毒功
CombatSkill,毒蛇,毒蛇
CombatSkill,江湖拳师,江湖拳師
CombatSkill,沧帮弟子,滄幇の弟子
CombatSkill,油尽灯枯,油尽灯枯
CombatSkill,浩劫余生,災害から生き残った
CombatSkill,温柔香,温柔香
CombatSkill,激战唐布衣,唐布衣と激戦
CombatSkill,火拂尘,火払塵
CombatSkill,点到为止,手加減
CombatSkill,点穴,点穴
CombatSkill,点苍双尊,点蒼双尊
CombatSkill,点苍弟子,点蒼派の弟子
CombatSkill,点苍弟子,点蒼の弟子
CombatSkill,点苍快剑Lv1,点蒼瞬剣Lv1
CombatSkill,点苍快剑Lv2,点蒼瞬剣Lv2
CombatSkill,点苍快剑Lv3,点蒼瞬剣Lv3
CombatSkill,点苍快剑Lv4,点蒼瞬剣Lv4
CombatSkill,点苍快剑Lv5,点蒼瞬剣Lv5
CombatSkill,点苍快剑Lv6,点蒼瞬剣Lv6
CombatSkill,点苍快剑Lv7,点蒼瞬剣Lv7
CombatSkill,点苍快剑Lv8,点蒼瞬剣Lv8
CombatSkill,点苍快剑Lv9,点蒼瞬剣Lv9
CombatSkill,烈火风流扇,烈火風流扇
CombatSkill,焚天烈焰,焚天烈焔
CombatSkill,焚心大火印,焚心大火印
CombatSkill,焚心火印Lv1,焚心火印Lv1
CombatSkill,焚心火印Lv2,焚心火印Lv2
CombatSkill,焚心火印Lv3,焚心火印Lv3
CombatSkill,燃烧,燃焼
CombatSkill,爆气,怒り
CombatSkill,牵制,牽制
CombatSkill,狂化Lv1,狂化Lv1
CombatSkill,狮吼功,獅吼功
CombatSkill,狮子之心,獅子心
CombatSkill,狼嚎,狼の遠吠え
CombatSkill,狼群,狼の群れ
CombatSkill,猿王劈山,猿王劈山
CombatSkill,猿王回风,猿王迴風
CombatSkill,玄功弟子,玄功門の弟子
CombatSkill,留力不发,温存
CombatSkill,疯狂攻击,発狂攻撃
CombatSkill,白日梦,白昼夢
CombatSkill,白猿身法Lv1,白猿身法Lv1
CombatSkill,白猿身法Lv2,白猿身法Lv2
CombatSkill,白猿身法Lv3,白猿身法Lv3
CombatSkill,白猿身法Lv4,白猿身法Lv4
CombatSkill,白猿身法Lv5,白猿身法Lv5
CombatSkill,白猿身法Lv6,白猿身法Lv6
CombatSkill,白猿身法Lv7,白猿身法Lv7
CombatSkill,白猿身法Lv8,白猿身法Lv8
CombatSkill,白猿身法Lv9,白猿身法Lv9
CombatSkill,盲目,盲目
CombatSkill,破功,動揺
CombatSkill,破气,破気
CombatSkill,粹毒Lv1,毒精製Lv1
CombatSkill,终极肩甲,究極肩甲
CombatSkill,经脉闭塞,経脈閉塞
CombatSkill,绝世,絶世
CombatSkill,翻江龙王刀,翻江龍王刀
CombatSkill,肩甲,肩甲
CombatSkill,胆怯,怯え
CombatSkill,胡椒粉毒,胡椒粉毒
CombatSkill,腹痛,腹痛
CombatSkill,腾空,空中
CombatSkill,荆红,荊紅
CombatSkill,落井下石,泣き面に蜂
CombatSkill,虚张声势,虚勢を張る
CombatSkill,虚脱,脱力
CombatSkill,蛮勇,蛮勇
CombatSkill,行云流水,行雲流水
CombatSkill,襄阳大侠,襄陽の大俠
CombatSkill,试探,探り合い
CombatSkill,谭霸刀,譚霸刀
CombatSkill,豪华肩甲,豪華肩甲
CombatSkill,败絮功,敗絮功
CombatSkill,赵逵,趙逵
CombatSkill,超绝暴怒,超絶怒り
CombatSkill,路人俠,通りすがりの侠客
CombatSkill,迎难而上,不撓不屈
CombatSkill,逐浪诀Lv1,逐浪訣Lv1
CombatSkill,逐浪诀Lv2,逐浪訣Lv2
CombatSkill,逐浪诀Lv3,逐浪訣Lv3
CombatSkill,鄙夷,侮蔑
CombatSkill,醍醐软筋散,醍醐軟筋散
CombatSkill,金刚腿Lv1,金剛脚Lv1
CombatSkill,金刚腿Lv2,金剛脚Lv2
CombatSkill,金刚腿Lv3,金剛脚Lv3
CombatSkill,金刚腿Lv4,金剛脚Lv4
CombatSkill,金刚腿Lv5,金剛脚Lv5
CombatSkill,金刚腿Lv6,金剛脚Lv6
CombatSkill,金刚腿Lv7,金剛脚Lv7
CombatSkill,金刚腿Lv8,金剛脚Lv8
CombatSkill,金刚腿Lv9,金剛脚Lv9
CombatSkill,金钟罩Lv1,金鐘罩Lv1
CombatSkill,金钟罩Lv2,金鐘罩Lv2
CombatSkill,金钟罩Lv3,金鐘罩Lv3
CombatSkill,金钟罩Lv4,金鐘罩Lv4
CombatSkill,金钟罩Lv5,金鐘罩Lv5
CombatSkill,金钱镖,金銭鏢
CombatSkill,针对三师兄,三師兄を狙う
CombatSkill,铁布衫Lv1,鉄布衫Lv1
CombatSkill,铁布衫Lv2,鉄布衫Lv2
CombatSkill,铁布衫Lv3,鉄布衫Lv3
CombatSkill,铁布衫Lv4,鉄布衫Lv4
CombatSkill,铁布衫Lv5,鉄布衫Lv5
CombatSkill,铁布衫Lv6,鉄布衫Lv6
CombatSkill,铁布衫Lv7,鉄布衫Lv7
CombatSkill,铁布衫Lv8,鉄布衫Lv8
CombatSkill,铁布衫Lv9,鉄布衫Lv9
CombatSkill,铁拂尘,鉄払塵
CombatSkill,铁拳弟子,鉄拳門の弟子
CombatSkill,铁棋盘,鉄棋盤
CombatSkill,铁琵琶功Lv1,鉄琵琶功Lv1
CombatSkill,铁琵琶功Lv2,鉄琵琶功Lv2
CombatSkill,铁琵琶功Lv3,鉄琵琶功Lv3
CombatSkill,铁琵琶功Lv4,鉄琵琶功Lv4
CombatSkill,铁琵琶功Lv5,鉄琵琶功Lv5
CombatSkill,铁石心肠,非情
CombatSkill,铁臂飞拳,鉄臂飛拳
CombatSkill,锦香弟子,錦香宮の弟子
CombatSkill,阻挡最后一击,止めを阻止する
CombatSkill,震撼,衝撃
CombatSkill,霹雳刀,霹靂刀
CombatSkill,青城弟子,青城派の弟子
CombatSkill,领悟Lv1,悟りLv1
CombatSkill,领悟Lv2,悟りLv2
CombatSkill,领悟Lv3,悟りLv3
CombatSkill,领悟Lv4,悟りLv4
CombatSkill,额外暗器,追加暗器
CombatSkill,飒踏流星剑,颯踏流星剣
CombatSkill,飞天弟子,飛天門の弟子
CombatSkill,飞石帮弟子,飛石幇の弟子
CombatSkill,骨折,骨折
CombatSkill,高手风范,強者の風格
CombatSkill,鸟说脏话,鳥の悪口
CombatSkill,鹰爪手,鷹爪拳
CombatSkill,麻痹Lv1,麻痺Lv1
CombatSkill,麻痹Lv2,麻痺Lv2
CombatSkill,麻痹Lv3,麻痺Lv3
CombatSkill,黑衣人,黒衣の人
CombatSkill,龙渊七绝Lv1,龍淵七絕Lv1
CombatSkill,龙渊七绝Lv2,龍淵七絕Lv2
CombatSkill,龙渊七绝Lv3,龍淵七絕Lv3
CombatSkill,龙渊七绝Lv4,龍淵七絕Lv4
CombatSkill,龙渊七绝Lv5,龍淵七絕Lv5
CombatSkill,龙渊七绝Lv6,龍淵七絕Lv6
CombatSkill,龙渊七绝Lv7,龍淵七絕Lv7
DiceHeader,一个小时之后的你,一時間後のあなたは
DiceHeader,三师兄想教你练功,三師兄が修行を教えたがっている
DiceHeader,三师兄正在犹豫,三師兄は迷っている
DiceHeader,三师兄的决定,三師兄の決断は
DiceHeader,三师兄的决策,三師兄の決断は
DiceHeader,三师兄的发现,三師兄の発見は
DiceHeader,三师兄的回应,三師兄の返答は
DiceHeader,上官萤的建言,上官螢の進言は
DiceHeader,不速之客向你逼近,怪しい者があなたに迫る
DiceHeader,与弟子赌博,弟子と賭博をする
DiceHeader,丐帮大义分舵之行,丐幇大義分舵への旅は
DiceHeader,中小门派答复,中小門派の返答は
DiceHeader,中毒程度,中毒の程度は
DiceHeader,为何你会身中此毒,なぜこの毒に侵されたのか
DiceHeader,主攻者,主攻者は
DiceHeader,乞丐与和尚的决斗,乞食と坊主の決闘
DiceHeader,了解二师兄的深意,二師兄の真意を理解する
DiceHeader,争执的结果,争いの結果は
DiceHeader,二师兄的决断,二師兄の決断
DiceHeader,二师兄的反应,二師兄の反応は
DiceHeader,仇敌现身,仇敵出現
DiceHeader,今日伙食,本日の食事は
DiceHeader,休沐日遭遇的是,休日に遭遇したのは
DiceHeader,似乎在讨论什么,何かを議論しているようだ
DiceHeader,你今日的对手,今日の相手は
DiceHeader,你们的午饭,あなた達の昼食は
DiceHeader,你察觉了什么,何に気づいたか
DiceHeader,你干了哪件事,あなたがやったことは
DiceHeader,你想说的事情,あなたが言いたいことは
DiceHeader,你打听的事情,あなたが聞き込んだことは
DiceHeader,你接下来,あなたは次に
DiceHeader,你是,あなたは
DiceHeader,你正在,あなたは今
DiceHeader,你泡的茶,あなたが淹れた茶は
DiceHeader,你的上山之路,あなたの登山路は
DiceHeader,你的下一个对手,あなたの次の相手は
DiceHeader,你的下场,結局あなたは
DiceHeader,你的信用,あなたの信用は
DiceHeader,你的修养,あなたの品性は
DiceHeader,你的冰糖葫芦生意,あなたの氷糖葫芦の商売は
DiceHeader,你的决定,あなたの決断は
DiceHeader,你的勇气,あなたの勇気は
DiceHeader,你的反应,あなたの反応は
DiceHeader,你的召唤咒文,あなたの召喚呪文は
DiceHeader,你的嘴攻冲动,あなたの口功衝動は
DiceHeader,你的回应,あなたの返答
DiceHeader,你的安抚,あなたの慰め
DiceHeader,你的察觉,あなたの気付き
DiceHeader,你的对应方针,あなたの対応方針は
DiceHeader,你的对手,あなたの相手は
DiceHeader,你的对策,あなたの対策は
DiceHeader,你的心动程度,あなたのときめき度は
DiceHeader,你的心意,あなたの真意は
DiceHeader,你的想法,あなたの考えは
DiceHeader,你的意图,あなたの意図は
DiceHeader,你的战利品,あなたの戦利品は
DiceHeader,你的战绩,あなたの戦績は
DiceHeader,你的抉择,あなたの選択は
DiceHeader,你的抵抗,あなたの抵抗
DiceHeader,你的挣扎,あなたの葛藤
DiceHeader,你的晚膳,あなたの夕食は
DiceHeader,你的智谋,あなたの知謀
DiceHeader,你的歌喉,あなたの歌声は
